VerExpanded,All Expaned,Triple
1,1,influenza caused virus
1,1,effect achieved way
1,1,viruses caused infections
1,1,blisters appear herpes simplex virus
1,1,blisters caused herpes simplex virus
1,1,circuit comprises converter
1,1,Roundworms caused parasite
1,1,subject imply implication
1,1,talent emanated village
1,1,narrative comprises interplay
1,1,murders result conviction
1,1,vibrations caused movement
1,1,regulations entered force
1,1,clubs falling ownership
1,1,station receives device
1,1,spills caused hurricane
1,1,diseases caused gene mutations
1,1,response caused ripple
1,1,air filled smell
1,1,receiver outputting tone
1,1,speech criticised idea
1,1,Asteroid threatened disaster
1,1,tales concerning concerns
1,1,documents troubling strategies
1,1,implications indicated publication
1,1,model derived example
1,1,analyzer identifies method
1,1,analyzer using method
1,1,Rain caused cancellation
1,1,containers fell dam
1,1,crash caused attack
1,1,Conditions criticised report
1,1,sound captures combination
1,1,drilling threatens chemicals
1,1,information came press release
1,1,damage caused misuse
1,1,airstrike resulted explosions
1,1,Barrages make energy
1,1,conflict caused wastewater
1,1,car using engine
1,1,damage caused tornado
1,1,downturn made people
1,1,activation done source
1,1,article explains difficulties
1,1,colors caused dispersion
1,1,articles identified promotion
1,1,question raised announcement
1,1,pain caused strains
1,1,storm moving town
1,1,damage caused earthquake
1,1,Air blown mouthpiece
1,1,misinterpretation caused word
1,1,damage caused bombing
1,1,death caused tsunami
1,1,leakage caused person
1,1,fear suffered stab
1,1,fear caused stab
1,1,topic came discussion
1,1,suffering caused embargo
1,1,attacker killed instrument
1,1,company mocked version
1,1,anger caused abuse
1,1,advertising inform selections
1,1,leaflet informing qualities
1,1,strike resulted death
1,1,album completed singer
1,1,fear caused power
1,1,Tides caused gravitational pull
1,1,Stroke leading death
1,1,pain caused torment
1,1,community eluded positions
1,1,distraction caused incident
1,1,distraction coupled incident
1,1,light radiating friend
1,1,entrapments resulted suffocation
1,1,Storms lead losses
1,1,laws applying war
1,1,cross removed site
1,1,lighting rendering works
1,1,Discussion took function
1,1,document sets facts
1,1,document established levels
1,1,answer grows trend
1,1,programme consider happiness
1,1,devastation caused waves
1,1,Noise regulations come force
1,1,Cancer causes illness
1,1,Inhalation fumes irritation
1,1,Inhalation produces irritation
1,1,seminar gave system
1,1,noise caused powertrain
1,1,pandemic caused infection
1,1,evidence arose results
1,1,law covering registration
1,1,tsunami triggered earthquake
1,1,ulcer caused stress
1,1,Recessions caused excess demand
